,Total,Short,Medium,Long,,Expected,,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
117,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-203,2002,16.7,615,742,82.9,8430,1743,385,425,90.6,171,201,85.1,30,58,51.7,6,3.5,3.0,+2.5,33,23,26,4,50,Matches,,,,,,,,,
118,Rúben Dias,pt POR,DF,Manchester City,27-261,1997,13.1,1141,1215,93.9,19406,6309,489,505,96.8,579,606,95.5,56,75,74.7,0,0.3,0.7,-0.3,5,106,5,0,78,Matches,,,,,,,,,
119,Luis Díaz,co COL,FW,Liverpool,28-017,1997,14.9,408,479,85.2,6331,1369,232,257,90.3,128,150,85.3,32,38,84.2,2,2.1,2.1,-0.1,27,29,23,3,62,Matches,,,,,,,,,
120,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-324,2006,13.7,313,403,77.7,4827,1036,166,191,86.9,123,148,83.1,16,36,44.4,0,1.3,1.1,-1.3,14,20,16,1,41,Matches,,,,,,,,,
121,Lucas Digne,fr FRA,DF,Aston Villa,31-194,1993,19.2,730,979,74.6,11924,3766,364,411,88.6,305,388,78.6,48,122,39.3,3,3.5,3.0,-0.5,28,31,24,15,43,Matches,,,,,,,,,
122,Issa Diop,fr FRA,DF,Fulham,28-021,1997,11.9,544,624,87.2,10140,3519,191,208,91.8,312,335,93.1,38,73,52.1,0,0.1,0.1,-0.1,2,33,1,0,23,Matches,,,,,,,,,
123,Axel Disasi,fr FRA,DF,Chelsea,26-325,1998,4.0,266,293,90.8,4218,1368,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,Matches,,,,,,,,,
124,Roman Dixon,eng ENG,DF,Everton,20-035,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches,,,,,,,,,
125,Matt Doherty,ie IRL,DF,Wolves,33-014,1992,11.9,539,666,80.9,10020,3174,221,249,88.8,245,295,83.1,64,96,66.7,1,1.4,0.7,-0.4,10,59,10,1,47,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
126,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-248,2002,8.8,311,391,79.5,4358,756,207,241,85.9,95,116,81.9,7,11,63.6,4,2.3,1.8,+1.7,16,3,28,3,36,Matches,,,,,,,,,
127,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-216,1998,12.2,486,561,86.6,6956,2023,286,313,91.4,149,168,88.7,24,37,64.9,0,0.6,0.9,-0.6,5,45,5,0,44,Matches,,,,,,,,,
128,Alfie Dorrington,eng ENG,DF,Tottenham,19-285,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
129,Abdoulaye Doucouré,ml MLI,MF,Everton,32-029,1993,17.7,485,597,81.2,7598,1445,245,287,85.4,197,232,84.9,29,38,76.3,0,0.9,0.6,-0.9,17,30,8,0,51,Matches,,,,,,,,,
130,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-022,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches,,,,,,,,,
131,Flynn Downes,eng ENG,MF,Southampton,26-010,1999,15.9,714,788,90.6,10555,2112,411,440,93.4,249,269,92.6,29,43,67.4,0,0.9,1.1,-0.9,12,42,9,0,50,Matches,,,,,,,,,
132,Tommy Doyle,eng ENG,MF,Wolves,23-105,2001,4.9,287,352,81.5,6044,1862,98,104,94.2,122,136,89.7,60,90,66.7,1,0.5,0.3,+0.5,7,39,3,0,38,Matches,,,,,,,,,
133,Radu Drăgușin,ro ROU,DF,Tottenham,22-362,2002,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,Matches,,,,,,,,,
134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-015,1989,8.0,208,260,80.0,4591,2404,49,49,100.0,123,123,100.0,35,87,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
135,Lewis Dunk,eng ENG,DF,Brighton,33-070,1991,16.4,1266,1387,91.3,23516,7798,484,500,96.8,663,696,95.3,107,167,64.1,0,0.5,0.7,-0.5,6,117,4,0,103,Matches,,,,,,,,,
136,Jhon Durán,co COL,FW,Aston Villa,21-048,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches,,,,,,,,,
137,Ederson,br BRA,GK,Manchester City,31-166,1993,15.0,482,559,86.2,11861,7811,90,90,100.0,278,284,97.9,112,182,61.5,2,0.5,0.0,+1.5,2,14,1,0,1,Matches,,,,,,,,,
138,George Edmundson,eng ENG,DF,Ipswich Town,27-152,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
139,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-014,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches,,,,,,,,,
140,Odsonne Édouard,fr FRA,FW,Leicester City,27-014,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches,,,,,,,,,
141,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-002,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches,,,,,,,,,
142,Ronnie Edwards,eng ENG,DF,Southampton,21-308,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
143,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-278,2002,15.2,285,446,63.9,4144,1500,169,202,83.7,75,124,60.5,26,74,35.1,5,2.6,2.4,+2.4,30,15,14,3,27,Matches,,,,,,,,,
144,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-301,2003,0.9,78,99,78.8,1474,360,42,46,91.3,21,30,70.0,13,18,72.2,1,0.8,0.4,+0.2,4,6,3,0,11,Matches,,,,,,,,,
145,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-020,2006,0.2,12,17,70.6,201,62,7,9,77.8,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches,,,,,,,,,
146,Julio Enciso,py PAR,MF,Ipswich Town,21-007,2004,0.1,5,8,62.5,109,40,1,2,50.0,2,2,100.0,1,1,100.0,1,0.3,0.2,+0.7,1,0,0,0,0,Matches,,,,,,,,,
147,Julio Enciso,py PAR,"MF,FW",Brighton,21-007,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,Matches,,,,,,,,,
148,Wataru Endo,jp JPN,MF,Liverpool,31-356,1993,0.9,54,57,94.7,834,210,28,29,96.6,20,21,95.2,3,3,100.0,0,0.0,0.0,0.0,1,5,1,0,7,Matches,,,,,,,,,
149,Christian Eriksen,dk DEN,MF,Manchester Utd,32-351,1992,7.0,353,434,81.3,6077,1855,189,201,94.0,120,146,82.2,35,72,48.6,1,2.1,1.5,-1.1,16,36,2,0,29,Matches,,,,,,,,,
150,Romain Esse,eng ENG,MF,Crystal Palace,19-262,2005,0.1,3,4,75.0,63,29,1,2,50.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
151,Pervis Estupiñán,ec ECU,DF,Brighton,27-009,1998,15.7,812,968,83.9,12241,3729,485,521,93.1,262,314,83.4,47,89,52.8,1,1.8,1.7,-0.8,19,52,23,17,71,Matches,,,,,,,,,
152,Evanilson,br BRA,FW,Bournemouth,25-116,1999,15.2,133,196,67.9,1630,331,89,121,73.6,27,40,67.5,7,8,87.5,0,1.1,1.3,-1.1,16,9,2,0,13,Matches,,,,,,,,,
153,Jonny Evans,nir NIR,DF,Manchester Utd,37-027,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches,,,,,,,,,
154,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-215,1998,17.6,518,695,74.5,8864,2322,247,293,84.3,212,252,84.1,49,110,44.5,5,3.4,2.8,+1.6,41,36,26,3,70,Matches,,,,,,,,,
155,Łukasz Fabiański,pl POL,GK,West Ham,39-287,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches,,,,,,,,,
156,Wout Faes,be BEL,DF,Leicester City,26-302,1998,17.3,736,850,86.6,13526,4844,294,314,93.6,378,399,94.7,63,120,52.5,0,0.1,0.4,-0.1,3,55,5,0,55,Matches,,,,,,,,,
157,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-328,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches,,,,,,,,,
158,João Félix,pt POR,"FW,MF",Chelsea,25-081,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches,,,,,,,,,
159,Evan Ferguson,ie IRL,FW,Brighton,20-103,2004,2.5,35,48,72.9,389,44,25,30,83.3,6,8,75.0,1,3,33.3,0,0.4,0.4,-0.4,3,1,0,0,1,Matches,,,,,,,,,
160,Bruno Fernandes,pt POR,MF,Manchester Utd,30-144,1994,20.4,950,1263,75.2,16052,5615,481,559,86.0,339,419,80.9,97,195,49.7,6,4.8,4.2,+1.2,47,114,39,6,170,Matches,,,,,,,,,
161,Mateus Fernandes,pt POR,MF,Southampton,20-204,2004,18.3,654,818,80.0,11029,2728,313,358,87.4,248,288,86.1,64,116,55.2,2,1.8,2.4,+0.2,20,54,13,3,87,Matches,,,,,,,,,
162,Enzo Fernández,ar ARG,MF,Chelsea,24-013,2001,17.8,909,1109,82.0,16087,4409,422,467,90.4,363,428,84.8,101,157,64.3,4,3.8,3.9,+0.2,42,94,21,1,126,Matches,,,,,,,,,
163,Mark Flekken,nl NED,GK,Brentford,31-231,1993,22.4,814,1104,73.7,23173,15406,108,110,98.2,446,460,97.0,260,528,49.2,1,0.2,0.1,+0.8,1,29,1,0,0,Matches,,,,,,,,,
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-247,2000,14.4,590,696,84.8,9247,2054,350,383,91.4,181,201,90.0,50,83,60.2,2,3.9,4.7,-1.9,35,29,31,5,73,Matches,,,,,,,,,
165,Wesley Fofana,fr FRA,DF,Chelsea,24-044,2000,11.3,630,703,89.6,10682,2949,264,283,93.3,338,367,92.1,22,35,62.9,0,0.4,0.2,-0.4,5,44,1,0,25,Matches,,,,,,,,,
166,Carlos Forbs,pt POR,"MF,FW",Wolves,20-317,2004,2.6,56,87,64.4,739,228,36,48,75.0,18,25,72.0,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches,,,,,,,,,
167,Fraser Forster,eng ENG,GK,Tottenham,36-319,1988,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches,,,,,,,,,
168,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-341,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches,,,,,,,,,
169,Niclas Füllkrug,de GER,FW,West Ham,31-356,1993,4.1,53,77,68.8,723,93,29,39,74.4,17,27,63.0,2,4,50.0,1,1.0,0.2,0.0,7,3,1,0,4,Matches,,,,,,,,,
170,Cody Gakpo,nl NED,FW,Liverpool,25-268,1999,13.7,334,437,76.4,4736,1148,209,240,87.1,97,144,67.4,16,28,57.1,3,3.4,2.7,-0.4,28,16,19,6,37,Matches,,,,,,,,,
171,Idrissa Gana Gueye,sn SEN,MF,Everton,35-126,1989,18.5,673,783,86.0,11397,3005,335,367,91.3,275,306,89.9,53,76,69.7,2,1.1,0.9,+0.9,12,86,6,2,85,Matches,,,,,,,,,
172,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-213,2004,13.7,356,454,78.4,5043,594,229,253,90.5,89,110,80.9,20,37,54.1,1,2.4,1.2,-1.4,18,12,10,1,23,Matches,,,,,,,,,
173,James Garner,eng ENG,"DF,MF",Everton,23-323,2001,3.0,69,103,67.0,1110,606,31,38,81.6,32,43,74.4,5,11,45.5,0,0.0,0.1,0.0,1,6,1,1,3,Matches,,,,,,,,,
174,Tyrique George,eng ENG,FW,Chelsea,18-361,2006,0.1,4,4,100.0,49,1,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
175,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-003,2000,16.7,551,706,78.0,7961,2546,334,394,84.8,155,194,79.9,36,59,61.0,4,3.2,3.7,+0.8,32,79,25,3,90,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
176,Billy Gilmour,sct SCO,MF,Brighton,23-233,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches,,,,,,,,,
177,Ben Godfrey,eng ENG,DF,Ipswich Town,27-015,1998,0.7,37,44,84.1,495,185,25,28,89.3,11,13,84.6,0,0,,0,0.0,0.0,0.0,0,3,1,0,3,Matches,,,,,,,,,
178,Martial Godo,eng ENG,FW,Fulham,21-322,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
179,João Gomes,br BRA,MF,Wolves,23-353,2001,20.6,816,967,84.4,12260,3208,462,518,89.2,270,315,85.7,50,75,66.7,1,0.8,1.3,+0.2,15,82,15,1,107,Matches,,,,,,,,,
180,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-207,2003,6.1,139,214,65.0,2055,700,82,106,77.4,48,72,66.7,6,22,27.3,0,0.7,0.5,-0.7,9,9,11,3,22,Matches,,,,,,,,,
181,Toti Gomes,pt POR,DF,Wolves,26-014,1999,14.0,660,788,83.8,11521,4219,285,319,89.3,313,342,91.5,52,94,55.3,1,0.6,0.4,+0.4,4,41,2,0,36,Matches,,,,,,,,,
182,Diego Gómez,py PAR,MF,Brighton,21-309,2003,0.0,1,2,50.0,13,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
183,Joe Gomez,eng ENG,DF,Liverpool,27-252,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches,,,,,,,,,
184,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-341,2001,19.6,509,708,71.9,7784,2619,281,334,84.1,175,226,77.4,35,88,39.8,5,4.8,4.4,+0.2,46,45,41,15,66,Matches,,,,,,,,,
185,Ryan Gravenberch,nl NED,MF,Liverpool,22-259,2002,21.1,1103,1232,89.5,16324,4316,621,664,93.5,408,445,91.7,41,67,61.2,2,2.6,2.7,-0.6,19,97,26,1,117,Matches,,,,,,,,,
186,Archie Gray,eng ENG,DF,Tottenham,18-324,2006,9.7,608,683,89.0,10223,3308,248,270,91.9,325,353,92.1,27,44,61.4,0,0.0,0.1,0.0,0,21,0,0,21,Matches,,,,,,,,,
187,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-142,1995,6.8,321,369,87.0,4826,815,206,221,93.2,101,115,87.8,13,21,61.9,1,1.7,1.5,-0.7,22,16,13,0,43,Matches,,,,,,,,,
188,Jacob Greaves,eng ENG,DF,Ipswich Town,24-140,2000,13.0,491,573,85.7,8028,2947,242,265,91.3,226,245,92.2,19,46,41.3,0,0.0,0.1,0.0,1,30,0,0,27,Matches,,,,,,,,,
189,Brajan Gruda,de GER,"FW,MF",Brighton,20-244,2004,4.1,101,139,72.7,1287,426,68,81,84.0,22,32,68.8,5,15,33.3,0,0.5,0.5,-0.5,10,4,7,1,13,Matches,,,,,,,,,
190,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-062,1996,6.9,162,225,72.0,2819,732,78,96,81.3,66,85,77.6,13,28,46.4,4,1.0,0.6,+3.0,10,13,13,5,27,Matches,,,,,,,,,
191,Marc Guéhi,eng ENG,DF,Crystal Palace,24-201,2000,22.0,981,1183,82.9,19543,8062,325,359,90.5,533,597,89.3,117,209,56.0,1,0.5,0.5,+0.5,7,81,7,2,87,Matches,,,,,,,,,
192,Luis Guilherme,br BRA,"MF,FW",West Ham,18-356,2006,0.6,17,20,85.0,250,70,13,14,92.9,3,5,60.0,1,1,100.0,0,0.0,0.1,0.0,1,0,1,1,1,Matches,,,,,,,,,
193,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-075,1997,22.2,941,1136,82.8,15532,5223,470,524,89.7,368,414,88.9,73,125,58.4,6,4.9,3.6,+1.1,35,113,43,4,171,Matches,,,,,,,,,
194,Marc Guiu,es ESP,FW,Chelsea,19-026,2006,0.4,4,8,50.0,40,0,4,7,57.1,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
195,İlkay Gündoğan,de GER,MF,Manchester City,34-098,1990,14.9,956,1075,88.9,14655,2736,540,573,94.2,340,364,93.4,55,97,56.7,1,1.9,2.9,-0.9,24,63,15,1,87,Matches,,,,,,,,,
196,Malo Gusto,fr FRA,DF,Chelsea,21-256,2003,14.1,806,934,86.3,13119,3303,402,426,94.4,333,381,87.4,51,80,63.8,1,0.9,1.1,+0.1,12,75,10,4,73,Matches,,,,,,,,,
197,Joško Gvardiol,hr CRO,DF,Manchester City,23-007,2002,21.5,1453,1601,90.8,22706,5670,758,804,94.3,625,675,92.6,51,77,66.2,0,1.5,2.1,-1.5,18,134,16,1,158,Matches,,,,,,,,,
198,Erling Haaland,no NOR,FW,Manchester City,24-193,2000,22.6,185,283,65.4,2257,446,129,185,69.7,40,61,65.6,4,6,66.7,2,2.1,1.3,-0.1,22,8,4,1,14,Matches,,,,,,,,,
199,Lewis Hall,eng ENG,DF,Newcastle Utd,20-144,2004,20.4,1120,1371,81.7,18977,7491,557,611,91.2,458,538,85.1,88,171,51.5,3,3.5,3.3,-0.5,29,100,13,3,106,Matches,,,,,,,,,
200,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-335,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
201,Marcus Harness,eng ENG,MF,Ipswich Town,28-341,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches,,,,,,,,,
202,Jack Harrison,eng ENG,FW,Everton,28-071,1996,11.1,180,281,64.1,2614,1010,113,137,82.5,44,69,63.8,12,34,35.3,0,2.0,1.4,-2.0,14,17,10,1,25,Matches,,,,,,,,,
203,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-000,2002,20.6,1348,1530,88.1,24781,8933,509,543,93.7,713,778,91.6,114,184,62.0,0,0.8,0.5,-0.8,11,134,6,0,88,Matches,,,,,,,,,
204,Kai Havertz,de GER,"FW,MF",Arsenal,25-233,1999,19.4,375,483,77.6,4526,954,261,312,83.7,89,109,81.7,5,11,45.5,2,2.3,1.4,-0.3,15,26,8,1,54,Matches,,,,,,,,,
205,Jan Paul van Hecke,nl NED,DF,Brighton,24-236,2000,19.9,1314,1473,89.2,25919,9859,446,479,93.1,714,764,93.5,146,206,70.9,1,1.0,1.0,0.0,12,139,9,4,154,Matches,,,,,,,,,
206,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-004,1996,6.8,148,182,81.3,1949,369,97,113,85.8,39,45,86.7,4,4,100.0,0,0.1,0.3,-0.1,3,6,4,2,11,Matches,,,,,,,,,
207,Dean Henderson,eng ENG,GK,Crystal Palace,27-324,1997,23.0,464,752,61.7,12579,8197,110,110,100.0,226,227,99.6,124,410,30.2,0,0.0,0.0,0.0,1,9,0,0,0,Matches,,,,,,,,,
208,Rico Henry,eng ENG,DF,Brentford,27-206,1997,0.0,2,5,40.0,44,28,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
209,Mads Hermansen,dk DEN,GK,Leicester City,24-203,2000,15.5,382,596,64.1,9898,7381,99,101,98.0,166,174,95.4,117,317,36.9,0,0.0,0.0,0.0,0,9,0,0,0,Matches,,,,,,,,,
210,Son Heung-min,kr KOR,FW,Tottenham,32-206,1992,16.6,533,665,80.2,7533,1963,331,365,90.7,149,182,81.9,29,55,52.7,6,5.9,3.9,+0.1,35,25,41,5,83,Matches,,,,,,,,,
211,James Hill,eng ENG,"DF,MF",Bournemouth,23-020,2002,2.0,55,93,59.1,1018,464,20,26,76.9,29,40,72.5,6,22,27.3,1,0.2,0.2,+0.8,2,9,4,0,9,Matches,,,,,,,,,
212,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-294,2005,9.5,425,512,83.0,6363,1547,250,271,92.3,133,158,84.2,30,61,49.2,0,0.3,0.7,-0.3,7,19,5,0,34,Matches,,,,,,,,,
213,George Hirst,eng ENG,FW,Ipswich Town,25-350,1999,2.4,25,49,51.0,274,97,18,30,60.0,5,11,45.5,0,1,0.0,1,0.3,0.1,+0.7,3,0,3,0,8,Matches,,,,,,,,,
214,Mason Holgate,eng ENG,"FW,DF",Everton,28-100,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
215,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-084,2000,16.9,490,593,82.6,6931,1410,306,331,92.4,135,164,82.3,28,59,47.5,2,2.0,1.9,0.0,34,21,17,4,49,Matches,,,,,,,,,
216,Will Hughes,eng ENG,MF,Crystal Palace,29-288,1995,14.7,492,634,77.6,7985,2711,243,271,89.7,205,245,83.7,30,79,38.0,3,1.8,1.6,+1.2,24,55,11,3,67,Matches,,,,,,,,,
217,Dean Huijsen,es ESP,DF,Bournemouth,19-291,2005,12.8,596,706,84.4,12125,4701,181,202,89.6,334,367,91.0,77,124,62.1,0,0.8,0.8,-0.8,11,69,2,0,58,Matches,,,,,,,,,
218,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-092,2003,19.7,433,564,76.8,6570,1095,227,259,87.6,172,210,81.9,22,41,53.7,1,2.1,1.3,-1.1,18,32,12,5,47,Matches,,,,,,,,,
219,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-361,2003,12.1,144,187,77.0,1491,281,106,126,84.1,18,28,64.3,3,3,100.0,0,1.1,0.7,-1.1,11,8,3,0,11,Matches,,,,,,,,,
220,Igor,br BRA,DF,Brighton,26-358,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches,,,,,,,,,
221,Danny Ings,eng ENG,"FW,MF",West Ham,32-191,1992,2.9,58,85,68.2,753,110,39,45,86.7,16,26,61.5,1,5,20.0,2,1.3,0.1,+0.7,6,3,0,0,4,Matches,,,,,,,,,
222,Tim Iroegbunam,eng ENG,MF,Everton,21-214,2003,4.3,70,99,70.7,1194,446,33,45,73.3,24,31,77.4,10,13,76.9,0,0.1,0.1,-0.1,2,8,1,0,10,Matches,,,,,,,,,
223,Andy Irving,sct SCO,MF,West Ham,24-262,2000,1.0,86,95,90.5,1455,339,41,42,97.6,33,37,89.2,9,9,100.0,0,0.0,0.0,0.0,0,13,0,0,7,Matches,,,,,,,,,
224,Alexander Isak,se SWE,FW,Newcastle Utd,25-131,1999,19.0,333,452,73.7,4609,1075,204,247,82.6,94,121,77.7,16,27,59.3,5,3.7,2.9,+1.3,34,25,15,0,54,Matches,,,,,,,,,
225,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-272,1996,21.5,753,997,75.5,12851,3983,393,451,87.1,277,360,76.9,70,121,57.9,3,4.8,5.0,-1.8,43,73,56,7,145,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
226,Nicolas Jackson,sn SEN,FW,Chelsea,23-224,2001,18.7,224,298,75.2,2905,656,140,170,82.4,61,81,75.3,6,11,54.5,5,3.9,1.6,+1.1,23,16,6,1,25,Matches,,,,,,,,,
227,Reece James,eng ENG,DF,Chelsea,25-053,1999,4.7,302,365,82.7,5433,1870,136,143,95.1,136,156,87.2,26,55,47.3,0,0.1,0.4,-0.1,3,33,1,0,21,Matches,,,,,,,,,
228,Vitaly Janelt,de GER,MF,Brentford,26-265,1998,18.4,641,780,82.2,10993,3279,312,347,89.9,264,307,86.0,51,96,53.1,3,2.1,2.0,+0.9,12,58,16,6,60,Matches,,,,,,,,,
229,Vitezslav Jaros,cz CZE,GK,Liverpool,23-191,2001,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches,,,,,,,,,
230,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-170,2003,0.5,13,17,76.5,141,21,10,12,83.3,1,1,100.0,0,0,,0,0.2,0.1,-0.2,3,1,1,0,1,Matches,,,,,,,,,
231,Mathias Jensen,dk DEN,MF,Brentford,29-029,1996,7.5,271,361,75.1,4972,1794,125,147,85.0,105,132,79.5,34,64,53.1,1,1.4,1.1,-0.4,13,31,13,2,44,Matches,,,,,,,,,
232,Gabriel Jesus,br BRA,FW,Arsenal,27-302,1997,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19,Matches,,,,,,,,,
