,Total,Short,Medium,Long,,Expected,,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
233,João Pedro,br BRA,"FW,MF",Brighton,23-122,2001,14.4,322,437,73.7,4494,1200,199,257,77.4,90,120,75.0,17,26,65.4,5,2.3,2.0,+2.7,17,29,21,2,50,Matches,,,,,,,,,
234,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-165,1996,20.6,672,808,83.2,9427,2697,423,482,87.8,210,240,87.5,22,42,52.4,1,1.5,1.8,-0.5,18,67,11,1,93,Matches,,,,,,,,,
235,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-002,2000,9.2,214,285,75.1,3283,1386,127,145,87.6,73,90,81.1,12,26,46.2,1,0.6,0.4,+0.4,6,13,1,1,17,Matches,,,,,,,,,
236,Brennan Johnson,wls WAL,FW,Tottenham,23-248,2001,16.6,318,449,70.8,4147,1167,194,240,80.8,101,136,74.3,7,18,38.9,2,1.3,1.2,+0.7,14,22,23,4,50,Matches,,,,,,,,,
237,Sam Johnstone,eng ENG,GK,Wolves,31-307,1993,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0,Matches,,,,,,,,,
238,Curtis Jones,eng ENG,MF,Liverpool,23-362,2001,10.0,521,555,93.9,7485,1504,301,309,97.4,191,202,94.6,15,22,68.2,2,0.4,0.5,+1.6,10,38,9,0,57,Matches,,,,,,,,,
239,Jorginho,it ITA,MF,Arsenal,33-037,1991,5.1,263,305,86.2,4151,965,135,151,89.4,110,121,90.9,13,23,56.5,0,0.4,0.5,-0.4,3,26,8,0,32,Matches,,,,,,,,,
240,Diogo Jota,pt POR,FW,Liverpool,28-053,1996,7.0,126,179,70.4,1820,485,65,86,75.6,43,54,79.6,7,13,53.8,2,1.1,0.7,+0.9,6,14,2,1,18,Matches,,,,,,,,,
241,James Justin,eng ENG,DF,Leicester City,26-338,1998,20.1,741,955,77.6,11111,3568,411,471,87.3,288,346,83.2,25,83,30.1,1,0.4,0.5,+0.6,9,50,11,4,52,Matches,,,,,,,,,
242,Filip Jørgensen,dk DEN,GK,Chelsea,22-285,2002,2.0,45,50,90.0,766,452,17,17,100.0,26,26,100.0,1,6,16.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
243,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-111,1999,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15,Matches,,,,,,,,,
244,Daichi Kamada,jp JPN,MF,Crystal Palace,28-174,1996,9.6,337,422,79.9,5549,1588,178,201,88.6,133,161,82.6,22,36,61.1,0,1.0,0.8,-1.0,13,36,9,2,56,Matches,,,,,,,,,
245,Boubacar Kamara,fr FRA,MF,Aston Villa,25-064,1999,9.5,414,460,90.0,6535,1826,210,222,94.6,179,196,91.3,17,29,58.6,0,0.3,0.2,-0.3,6,40,6,0,47,Matches,,,,,,,,,
246,Michael Keane,eng ENG,DF,Everton,32-015,1993,9.0,253,309,81.9,5832,1865,74,83,89.2,119,132,90.2,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12,Matches,,,,,,,,,
247,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-064,1998,8.0,221,296,74.7,4749,2888,80,80,100.0,109,109,100.0,32,106,30.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches,,,,,,,,,
248,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-112,1998,3.3,138,170,81.2,2538,839,52,59,88.1,75,83,90.4,10,24,41.7,1,0.5,0.1,+0.5,2,5,1,1,9,Matches,,,,,,,,,
249,Milos Kerkez,hu HUN,DF,Bournemouth,21-080,2003,22.2,757,975,77.6,12154,4204,411,458,89.7,281,349,80.5,51,121,42.1,3,2.9,1.7,+0.1,22,52,25,15,100,Matches,,,,,,,,,
250,Bilal El Khannouss,ma MAR,MF,Leicester City,20-261,2004,10.3,370,484,76.4,6580,1719,180,203,88.7,127,159,79.9,53,89,59.6,1,1.8,1.3,-0.8,17,47,11,1,58,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
251,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-332,2004,0.6,40,47,85.1,717,188,16,19,84.2,23,25,92.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,2,Matches,,,,,,,,,
252,Max Kilman,eng ENG,DF,West Ham,27-248,1997,21.2,957,1112,86.1,18866,6767,304,332,91.6,547,594,92.1,100,168,59.5,1,0.8,0.7,+0.2,10,73,2,0,86,Matches,,,,,,,,,
253,Joshua King,eng ENG,"MF,FW",Fulham,18-023,2007,0.9,32,37,86.5,477,92,18,20,90.0,13,15,86.7,0,1,0.0,0,0.4,0.7,-0.4,3,2,1,0,4,Matches,,,,,,,,,
254,Antonín Kinský,cz CZE,GK,Tottenham,21-319,2003,2.0,67,82,81.7,1559,967,9,9,100.0,41,43,95.3,15,27,55.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
255,Jakub Kiwior,pl POL,DF,Arsenal,24-346,2000,3.6,147,175,84.0,2623,792,57,63,90.5,80,88,90.9,9,19,47.4,0,0.1,0.0,-0.1,1,8,0,0,8,Matches,,,,,,,,,
256,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-266,1999,16.0,303,426,71.1,4664,1227,170,215,79.1,100,139,71.9,23,38,60.5,4,3.0,2.0,+1.0,25,22,15,3,58,Matches,,,,,,,,,
257,Ibrahima Konaté,fr FRA,DF,Liverpool,25-246,1999,14.5,928,1027,90.4,16500,6066,349,371,94.1,535,564,94.9,37,77,48.1,2,0.8,0.7,+1.2,7,85,7,0,68,Matches,,,,,,,,,
258,Ezri Konsa,eng ENG,DF,Aston Villa,27-095,1997,19.1,907,992,91.4,15359,4708,377,395,95.4,485,507,95.7,35,58,60.3,0,0.2,0.4,-0.2,3,65,1,0,51,Matches,,,,,,,,,
259,Mateo Kovačić,hr CRO,MF,Manchester City,30-265,1994,16.2,1161,1249,93.0,17723,4648,633,666,95.0,479,503,95.2,36,53,67.9,1,3.4,2.5,-2.4,26,125,20,0,102,Matches,,,,,,,,,
260,Caleb Kporha,eng ENG,DF,Crystal Palace,18-195,2006,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches,,,,,,,,,
261,Emil Krafth,se SWE,DF,Newcastle Utd,30-177,1994,2.7,59,74,79.7,1018,485,26,33,78.8,29,33,87.9,4,6,66.7,0,0.1,0.0,-0.1,1,3,0,0,1,Matches,,,,,,,,,
262,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-177,2000,15.4,387,460,84.1,6496,1028,203,230,88.3,138,149,92.6,38,50,76.0,1,1.9,1.8,-0.9,18,26,19,10,44,Matches,,,,,,,,,
263,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-276,2000,19.7,500,689,72.6,6975,2316,306,356,86.0,146,193,75.6,26,65,40.0,4,5.5,3.6,-1.5,56,53,44,5,101,Matches,,,,,,,,,
264,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-295,2000,19.0,730,885,82.5,15202,6096,195,227,85.9,445,489,91.0,86,149,57.7,1,0.3,0.5,+0.7,3,51,1,0,43,Matches,,,,,,,,,
265,Adam Lallana,eng ENG,MF,Southampton,36-261,1988,3.7,211,244,86.5,2749,897,142,158,89.9,56,60,93.3,4,8,50.0,2,0.9,0.5,+1.1,4,20,9,3,23,Matches,,,,,,,,,
266,Tariq Lamptey,gh GHA,DF,Brighton,24-118,2000,4.8,177,215,82.3,2741,540,97,104,93.3,67,81,82.7,10,23,43.5,2,0.4,0.3,+1.6,4,8,4,3,7,Matches,,,,,,,,,
267,Will Lankshear,eng ENG,FW,Tottenham,19-281,2005,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
268,Roméo Lavia,be BEL,MF,Chelsea,21-020,2004,5.9,261,285,91.6,4376,1179,127,141,90.1,117,122,95.9,14,17,82.4,1,0.7,0.3,+0.3,6,31,3,0,17,Matches,,,,,,,,,
269,Mario Lemina,ga GAB,"MF,DF",Wolves,31-147,1993,15.2,493,613,80.4,9479,2966,176,207,85.0,249,284,87.7,58,95,61.1,3,1.1,1.2,+1.9,10,43,13,4,48,Matches,,,,,,,,,
270,Bernd Leno,de GER,GK,Fulham,32-328,1992,22.0,687,836,82.2,16526,9335,120,121,99.2,434,438,99.1,126,268,47.0,1,0.1,0.0,+0.9,1,6,1,0,0,Matches,,,,,,,,,
271,Jefferson Lerma,co COL,MF,Crystal Palace,30-093,1994,12.4,444,568,78.2,7745,2633,207,232,89.2,185,223,83.0,42,82,51.2,0,0.9,1.0,-0.9,5,52,12,1,55,Matches,,,,,,,,,
272,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-066,2004,15.6,832,903,92.1,11874,2178,512,541,94.6,286,304,94.1,23,31,74.2,2,0.3,0.8,+1.7,7,69,13,0,80,Matches,,,,,,,,,
273,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-339,2001,19.3,500,629,79.5,7855,1924,289,318,90.9,168,211,79.6,32,64,50.0,2,1.5,3.0,+0.5,14,25,22,7,51,Matches,,,,,,,,,
274,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-122,2006,5.1,260,282,92.2,3846,803,153,161,95.0,95,104,91.3,8,8,100.0,0,0.1,0.2,-0.1,3,31,1,0,23,Matches,,,,,,,,,
275,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-167,1999,16.5,927,1017,91.2,16290,4118,319,337,94.7,567,596,95.1,36,70,51.4,0,0.3,0.2,-0.3,4,42,1,0,34,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
276,Pedro Lima,br BRA,DF,Wolves,18-209,2006,0.6,19,26,73.1,352,149,8,10,80.0,8,10,80.0,3,5,60.0,0,0.1,0.1,-0.1,2,1,3,2,3,Matches,,,,,,,,,
277,Victor Lindelöf,se SWE,"DF,MF",Manchester Utd,30-193,1994,0.7,35,38,92.1,534,171,16,19,84.2,17,17,100.0,1,1,100.0,0,0.0,0.0,0.0,1,4,2,1,5,Matches,,,,,,,,,
278,Jesper Lindstrøm,dk DEN,FW,Everton,24-332,2000,8.9,193,290,66.6,3056,908,127,146,87.0,43,68,63.2,20,51,39.2,0,1.6,1.5,-1.6,16,9,8,6,12,Matches,,,,,,,,,
279,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-075,2002,17.6,786,940,83.6,11571,4095,459,514,89.3,293,343,85.4,24,48,50.0,0,0.6,0.5,-0.6,10,55,17,4,82,Matches,,,,,,,,,
280,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-088,1997,8.0,264,313,84.3,3944,1065,148,169,87.6,97,105,92.4,14,21,66.7,0,0.2,0.2,-0.2,4,24,1,0,38,Matches,,,,,,,,,
281,Saša Lukić,rs SRB,MF,Fulham,28-166,1996,14.8,666,753,88.4,10967,2653,328,354,92.7,283,305,92.8,45,64,70.3,2,2.1,0.8,-0.1,10,60,7,2,56,Matches,,,,,,,,,
282,Joe Lumley,eng ENG,GK,Southampton,29-346,1995,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,,,,,,,,,
283,Massimo Luongo,au AUS,MF,Ipswich Town,32-123,1992,1.9,39,53,73.6,551,135,24,27,88.9,11,16,68.8,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,5,Matches,,,,,,,,,
284,Ian Maatsen,nl NED,DF,Aston Villa,22-322,2002,4.0,205,255,80.4,3342,980,103,120,85.8,86,103,83.5,12,17,70.6,1,1.3,1.3,-0.3,10,8,7,1,16,Matches,,,,,,,,,
285,Alexis Mac Allister,ar ARG,MF,Liverpool,26-033,1998,17.4,821,952,86.2,12960,3590,429,477,89.9,315,351,89.7,53,72,73.6,3,3.4,3.7,-0.4,30,79,26,1,117,Matches,,,,,,,,,
286,James Maddison,eng ENG,MF,Tottenham,28-064,1996,14.4,732,907,80.7,11885,3633,356,394,90.4,298,347,85.9,52,119,43.7,4,2.7,4.5,+1.3,26,82,27,5,118,Matches,,,,,,,,,
287,Noni Madueke,eng ENG,FW,Chelsea,22-322,2002,15.3,351,451,77.8,5128,1245,220,252,87.3,99,132,75.0,18,30,60.0,3,3.1,2.3,-0.1,21,8,25,5,48,Matches,,,,,,,,,
288,Gabriel Magalhães,br BRA,DF,Arsenal,27-038,1997,20.1,1132,1258,90.0,19935,6091,460,477,96.4,590,625,94.4,72,131,55.0,1,0.8,1.0,+0.2,11,111,6,0,90,Matches,,,,,,,,,
289,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-263,2001,0.9,46,50,92.0,733,190,25,26,96.2,15,16,93.8,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,8,Matches,,,,,,,,,
290,Harry Maguire,eng ENG,DF,Manchester Utd,31-327,1993,10.1,520,605,86.0,9594,3419,200,219,91.3,268,293,91.5,43,75,57.3,0,0.2,0.2,-0.2,4,30,2,0,29,Matches,,,,,,,,,
291,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-282,2005,13.4,562,648,86.7,7553,1909,357,388,92.0,142,160,88.8,26,35,74.3,0,1.3,1.0,-1.3,12,42,8,0,49,Matches,,,,,,,,,
292,Tyrell Malacia,nl NED,DF,Manchester Utd,25-162,1999,1.0,47,53,88.7,598,223,31,33,93.9,11,12,91.7,2,2,100.0,0,0.0,0.0,0.0,1,6,1,0,2,Matches,,,,,,,,,
293,Orel Mangala,be BEL,MF,Everton,26-314,1998,14.0,437,490,89.2,7019,1566,217,240,90.4,189,199,95.0,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,Matches,,,,,,,,,
294,Ryan Manning,ie IRL,DF,Southampton,28-226,1996,8.5,321,399,80.5,5401,1447,158,169,93.5,132,156,84.6,24,48,50.0,0,1.3,1.6,-1.3,16,7,6,6,8,Matches,,,,,,,,,
295,Solly March,eng ENG,"MF,DF",Brighton,30-190,1994,0.3,7,15,46.7,104,47,4,5,80.0,3,7,42.9,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
296,Omar Marmoush,eg EGY,FW,Manchester City,25-354,1999,0.8,11,13,84.6,176,28,6,7,85.7,4,4,100.0,1,2,50.0,0,0.2,0.0,-0.2,1,1,2,1,1,Matches,,,,,,,,,
297,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-222,2001,15.2,294,424,69.3,4250,843,188,235,80.0,85,125,68.0,14,27,51.9,2,2.7,3.1,-0.7,23,5,18,8,26,Matches,,,,,,,,,
298,Emiliano Martínez,ar ARG,GK,Aston Villa,32-146,1992,21.5,663,817,81.2,17648,10533,107,110,97.3,388,394,98.5,168,308,54.5,0,0.0,0.0,0.0,0,12,0,0,1,Matches,,,,,,,,,
299,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-008,1998,17.6,1086,1214,89.5,18375,6369,469,498,94.2,548,588,93.2,59,107,55.1,1,1.1,1.2,-0.1,9,79,15,2,100,Matches,,,,,,,,,
300,Pape Matar Sarr,sn SEN,MF,Tottenham,22-134,2002,13.1,626,717,87.3,9844,2376,332,366,90.7,244,268,91.0,35,44,79.5,2,1.3,0.5,+0.7,9,69,7,2,62,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
301,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-212,1997,18.7,192,293,65.5,2512,639,121,156,77.6,56,88,63.6,3,14,21.4,1,2.0,1.2,-1.0,20,22,8,0,32,Matches,,,,,,,,,
302,Stephy Mavididi,eng ENG,FW,Leicester City,26-240,1998,14.2,357,472,75.6,4865,1221,216,237,91.1,100,145,69.0,14,32,43.8,1,2.4,3.1,-1.4,18,26,22,5,51,Matches,,,,,,,,,
303,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-046,1997,15.4,715,841,85.0,14224,4874,227,252,90.1,408,448,91.1,74,120,61.7,0,0.5,0.4,-0.5,4,45,4,1,45,Matches,,,,,,,,,
304,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-073,1997,18.7,964,1133,85.1,14457,5090,544,599,90.8,358,403,88.8,41,76,53.9,1,0.5,1.2,+0.5,10,81,10,3,75,Matches,,,,,,,,,
305,Bryan Mbeumo,cm CMR,FW,Brentford,25-172,1999,21.9,518,762,68.0,8251,2521,282,348,81.0,189,255,74.1,38,104,36.5,3,5.4,5.1,-2.4,43,32,36,9,87,Matches,,,,,,,,,
306,James Mcatee,eng ENG,"MF,FW",Manchester City,22-100,2002,0.8,39,46,84.8,613,81,20,24,83.3,18,20,90.0,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches,,,,,,,,,
307,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-065,2001,4.3,91,131,69.5,1285,308,60,71,84.5,25,35,71.4,4,8,50.0,1,0.4,0.2,+0.6,5,6,3,1,8,Matches,,,,,,,,,
308,Alex McCarthy,eng ENG,GK,Southampton,35-054,1989,5.0,117,157,74.5,2782,1930,41,43,95.3,46,50,92.0,29,61,47.5,0,0.0,0.0,0.0,0,4,0,0,0,Matches,,,,,,,,,
309,John McGinn,sct SCO,"FW,MF",Aston Villa,30-100,1994,13.9,315,395,79.7,5473,1650,145,162,89.5,128,159,80.5,37,54,68.5,3,2.5,2.0,+0.5,21,30,23,7,57,Matches,,,,,,,,,
310,Dwight McNeil,eng ENG,"MF,FW",Everton,25-065,1999,12.7,377,514,73.3,7168,2464,170,197,86.3,135,166,81.3,64,119,53.8,3,3.5,4.0,-0.5,32,33,32,10,60,Matches,,,,,,,,,
311,Scott McTominay,sct SCO,MF,Manchester Utd,28-049,1996,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,,,,,,,,,
312,Ben Mee,eng ENG,DF,Brentford,35-127,1989,2.0,93,119,78.2,1751,688,34,38,89.5,51,59,86.4,8,20,40.0,0,0.0,0.0,0.0,0,10,0,0,11,Matches,,,,,,,,,
313,Jayden Meghoma,eng ENG,DF,Brentford,18-212,2006,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
314,Mikel Merino,es ESP,MF,Arsenal,28-218,1996,8.4,275,351,78.3,3836,1127,174,198,87.9,83,106,78.3,9,19,47.4,1,0.9,0.7,+0.1,8,23,15,2,42,Matches,,,,,,,,,
315,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-106,1997,22.0,488,596,81.9,9694,3635,159,185,85.9,261,297,87.9,61,93,65.6,1,0.2,0.3,+0.8,4,35,1,0,35,Matches,,,,,,,,,
316,Lewis Miley,eng ENG,MF,Newcastle Utd,18-270,2006,0.4,43,44,97.7,581,95,26,26,100.0,13,13,100.0,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches,,,,,,,,,
317,James Milner,eng ENG,MF,Brighton,39-022,1986,1.9,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0,0.2,0.2,-0.2,4,3,1,1,10,Matches,,,,,,,,,
318,Tyrone Mings,eng ENG,DF,Aston Villa,31-319,1993,4.8,253,293,86.3,4726,1746,88,97,90.7,145,154,94.2,19,38,50.0,0,0.2,0.1,-0.2,2,20,4,0,17,Matches,,,,,,,,,
319,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-188,2004,8.3,135,227,59.5,2242,726,72,98,73.5,46,66,69.7,13,32,40.6,2,2.7,2.5,-0.7,13,7,14,3,18,Matches,,,,,,,,,
320,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-147,1999,21.3,662,908,72.9,10700,4148,348,414,84.1,266,353,75.4,36,85,42.4,3,3.6,2.7,-0.6,25,35,23,12,46,Matches,,,,,,,,,
321,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-251,1997,20.5,538,707,76.1,7193,1568,356,410,86.8,141,193,73.1,20,44,45.5,3,4.3,3.4,-1.3,32,25,24,6,66,Matches,,,,,,,,,
322,Jakub Moder,pl POL,MF,Brighton,25-294,1999,0.1,18,22,81.8,254,82,10,14,71.4,8,8,100.0,0,0,,0,0.2,0.5,-0.2,3,0,1,1,4,Matches,,,,,,,,,
323,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-168,2007,1.1,25,37,67.6,303,105,14,14,100.0,6,11,54.5,1,3,33.3,1,0.2,0.4,+0.8,1,1,4,1,5,Matches,,,,,,,,,
324,Morato,br BRA,DF,Nott'ham Forest,23-210,2001,4.9,91,135,67.4,1374,741,46,54,85.2,39,49,79.6,2,17,11.8,0,0.0,0.0,0.0,0,4,0,0,9,Matches,,,,,,,,,
325,Álex Moreno,es ESP,DF,Nott'ham Forest,31-232,1993,9.0,257,360,71.4,3799,1502,156,181,86.2,78,120,65.0,12,35,34.3,1,1.0,0.8,0.0,4,20,7,1,29,Matches,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,,,,,,,,
326,Sam Morsy,eg EGY,MF,Ipswich Town,33-138,1991,20.1,863,989,87.3,13704,3651,464,499,93.0,321,352,91.2,56,85,65.9,1,0.6,1.0,+0.4,13,107,10,2,78,Matches,,,,,,,,,
327,Yerson Mosquera,co COL,DF,Wolves,23-269,2001,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7,Matches,,,,,,,,,
328,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-016,1999,2.7,76,95,80.0,1124,241,43,49,87.8,21,27,77.8,5,9,55.6,0,0.1,0.1,-0.1,4,5,0,0,8,Matches,,,,,,,,,
329,Divin Mubama,eng ENG,FW,Manchester City,20-093,2004,0.3,2,3,66.7,44,18,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,,,,,,,,,
330,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-021,2001,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5,Matches,,,,,,,,,
331,Rodrigo Muniz,br BRA,FW,Fulham,23-267,2001,7.0,59,89,66.3,985,326,29,39,74.4,19,29,65.5,8,10,80.0,1,0.6,0.1,+0.4,6,9,2,0,18,Matches,,,,,,,,,
332,Daniel Muñoz,co COL,DF,Crystal Palace,28-245,1996,20.0,651,857,76.0,10060,2776,367,432,85.0,248,310,80.0,27,65,41.5,1,2.7,1.4,-1.7,27,32,17,8,52,Matches,,,,,,,,,
333,Arijanet Muric,xk KVX,GK,Ipswich Town,26-080,1998,17.0,425,595,71.4,11137,7902,114,114,100.0,197,203,97.0,113,272,41.5,0,0.0,0.0,0.0,0,13,0,0,1,Matches,,,,,,,,,
334,Murillo,br BRA,DF,Nott'ham Forest,22-206,2002,21.7,654,839,77.9,12556,5909,271,298,90.9,281,326,86.2,85,181,47.0,0,0.9,0.7,-0.9,10,57,7,0,64,Matches,,,,,,,,,
335,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-337,1995,13.9,370,524,70.6,5569,1825,226,268,84.3,112,160,70.0,23,55,41.8,7,6.3,3.5,+0.7,27,32,21,5,48,Matches,,,,,,,,,
336,Vitaliy Mykolenko,ua UKR,DF,Everton,25-242,1999,19.3,546,729,74.9,9056,3621,271,307,88.3,225,295,76.3,40,95,42.1,0,0.8,0.7,-0.8,13,58,17,10,69,Matches,,,,,,,,,
337,Iliman Ndiaye,sn SEN,FW,Everton,24-326,2000,19.6,431,529,81.5,6713,1416,238,279,85.3,149,174,85.6,33,45,73.3,0,1.4,0.9,-1.4,14,30,11,5,36,Matches,,,,,,,,,
338,Wilfred Ndidi,ng NGA,MF,Leicester City,28-041,1996,13.5,430,534,80.5,6137,1597,237,272,87.1,139,165,84.2,22,42,52.4,4,1.4,1.1,+2.6,9,36,6,1,37,Matches,,,,,,,,,
339,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-041,2005,1.3,36,42,85.7,678,134,16,17,94.1,16,20,80.0,4,5,80.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches,,,,,,,,,
340,Reiss Nelson,eng ENG,FW,Arsenal,25-047,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,,,,,,,,,
341,Reiss Nelson,eng ENG,FW,Fulham,25-047,1999,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35,Matches,,,,,,,,,
342,Neto,br BRA,GK,Bournemouth,35-191,1989,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches,,,,,,,,,
343,Pedro Neto,pt POR,FW,Chelsea,24-323,2000,12.1,328,422,77.7,5145,1065,167,185,90.3,125,151,82.8,23,53,43.4,2,2.6,2.3,-0.6,21,12,16,10,24,Matches,,,,,,,,,
344,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-241,1999,6.8,116,159,73.0,1731,321,59,76,77.6,46,54,85.2,5,9,55.6,1,1.3,0.5,-0.3,10,10,1,0,11,Matches,,,,,,,,,
345,Christopher Nkunku,fr FRA,FW,Chelsea,27-073,1997,4.8,136,149,91.3,1809,333,82,90,91.1,44,46,95.7,2,2,100.0,1,1.7,0.4,-0.7,9,9,2,0,11,Matches,,,,,,,,,
346,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-152,1998,8.9,463,549,84.3,7140,1380,262,293,89.4,166,195,85.1,28,39,71.8,4,2.9,2.1,+1.1,18,16,19,6,34,Matches,,,,,,,,,
347,Darwin Núñez,uy URU,FW,Liverpool,25-216,1999,8.9,106,152,69.7,1645,352,59,71,83.1,33,46,71.7,10,14,71.4,2,0.9,0.3,+1.1,6,7,0,0,17,Matches,,,,,,,,,
348,Ethan Nwaneri,eng ENG,"MF,FW",Arsenal,17-311,2007,3.2,99,124,79.8,1499,434,60,66,90.9,29,35,82.9,8,15,53.3,0,0.2,0.4,-0.2,4,8,3,1,11,Matches,,,,,,,,,
349,Christian Nørgaard,dk DEN,MF,Brentford,30-322,1994,17.3,660,796,82.9,10871,3583,335,376,89.1,274,320,85.6,40,66,60.6,2,0.5,0.5,+1.5,10,84,11,1,79,Matches,,,,,,,,,
